Thu Mar  5 19:03:11 2020    profiler/prof/out_tmp.prof

         61533 function calls (61428 primitive calls) in 0.474 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.475    0.475 {built-in method builtins.exec}
        1    0.000    0.000    0.475    0.475 <string>:1(<module>)
        1    0.000    0.000    0.475    0.475 C:\Users\Nathan\Desktop\Thesis\ppcm\reachability\scripts\F1QuickZono.py:59(run)
        1    0.000    0.000    0.465    0.465 C:\Users\Nathan\Desktop\Thesis\ppcm\reachability\scripts\F1QuickZono.py:75(<listcomp>)
       21    0.000    0.000    0.464    0.022 C:\Users\Nathan\Desktop\Thesis\quickzonoreach\quickzonoreach\zono.py:202(verts)
       21    0.019    0.001    0.464    0.022 C:\Users\Nathan\Desktop\Thesis\quickzonoreach\quickzonoreach\kamenev.py:112(get_verts)
       21    0.140    0.007    0.425    0.020 C:\Users\Nathan\Desktop\Thesis\quickzonoreach\quickzonoreach\kamenev.py:144(_v_h_rep_given_init_simplex)
     1849    0.007    0.000    0.229    0.000 C:\Users\Nathan\Desktop\Thesis\quickzonoreach\quickzonoreach\zono.py:210(max_func)
     1849    0.207    0.000    0.213    0.000 C:\Users\Nathan\Desktop\Thesis\quickzonoreach\quickzonoreach\zono.py:160(maximize)
      176    0.000    0.000    0.057    0.000 C:\Users\Nathan\AppData\Local\Programs\Python\Python36-32\lib\tempfile.py:305(mkstemp)
      176    0.001    0.000    0.057    0.000 C:\Users\Nathan\AppData\Local\Programs\Python\Python36-32\lib\tempfile.py:249(_mkstemp_inner)
      176    0.044    0.000    0.044    0.000 {built-in method nt.open}
     4264    0.012    0.000    0.013    0.000 {built-in method numpy.array}
       21    0.000    0.000    0.011    0.001 C:\Users\Nathan\Desktop\Thesis\quickzonoreach\quickzonoreach\kamenev.py:66(_find_init_simplex)
3864/3759    0.005    0.000    0.009    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
     3675    0.003    0.000    0.008    0.000 <__array_function__ internals>:2(dot)
        1    0.000    0.000    0.008    0.008 C:\Users\Nathan\Desktop\Thesis\ppcm\reachability\scripts\F1QuickZono.py:124(make_dynamics)
       20    0.000    0.000    0.007    0.000 C:\Users\Nathan\Desktop\Thesis\ppcm\reachability\scripts\model_hardcode.py:26(linearized_dynamics)
       21    0.000    0.000    0.007    0.000 C:\Users\Nathan\Desktop\Thesis\quickzonoreach\quickzonoreach\kamenev.py:35(_find_two_points)
      190    0.000    0.000    0.006    0.000 C:\Users\Nathan\AppData\Local\Programs\Python\Python36-32\lib\site-packages\sympy\core\decorators.py:84(__sympifyit_wrapper)
      176    0.000    0.000    0.005    0.000 {built-in method builtins.next}
      591    0.005    0.000    0.005    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      176    0.001    0.000    0.005    0.000 C:\Users\Nathan\AppData\Local\Programs\Python\Python36-32\lib\tempfile.py:157(__next__)
      176    0.000    0.000    0.004    0.000 C:\Users\Nathan\AppData\Local\Programs\Python\Python36-32\lib\ntpath.py:538(abspath)
      176    0.000    0.000    0.004    0.000 C:\Users\Nathan\AppData\Local\Programs\Python\Python36-32\lib\tempfile.py:160(<listcomp>)
      176    0.001    0.000    0.003    0.000 C:\Users\Nathan\AppData\Local\Programs\Python\Python36-32\lib\ntpath.py:471(normpath)
     1408    0.001    0.000    0.003    0.000 C:\Users\Nathan\AppData\Local\Programs\Python\Python36-32\lib\random.py:252(choice)
      352    0.000    0.000    0.003    0.000 C:\Users\Nathan\AppData\Local\Programs\Python\Python36-32\lib\site-packages\numpy\core\_asarray.py:141(ascontiguousarray)
      266    0.001    0.000    0.003    0.000 C:\Users\Nathan\AppData\Local\Programs\Python\Python36-32\lib\site-packages\sympy\core\sympify.py:78(sympify)
      176    0.000    0.000    0.002    0.000 C:\Users\Nathan\AppData\Local\Programs\Python\Python36-32\lib\site-packages\numpy\core\_methods.py:32(_amin)
      152    0.001    0.000    0.002    0.000 C:\Users\Nathan\AppData\Local\Programs\Python\Python36-32\lib\site-packages\sympy\core\numbers.py:930(__new__)
       43    0.000    0.000    0.002    0.000 C:\Users\Nathan\Desktop\Thesis\quickzonoreach\quickzonoreach\kamenev.py:11(_get_orthonormal_rank)
      176    0.001    0.000    0.002    0.000 C:\Users\Nathan\AppData\Local\Programs\Python\Python36-32\lib\ntpath.py:74(join)
        1    0.000    0.000    0.002    0.002 C:\Users\Nathan\Desktop\Thesis\ppcm\reachability\scripts\F1QuickZono.py:81(run_zono)
        1    0.000    0.000    0.002    0.002 C:\Users\Nathan\Desktop\Thesis\quickzonoreach\quickzonoreach\zono.py:15(get_zonotope_reachset)
        1    0.000    0.000    0.002    0.002 C:\Users\Nathan\Desktop\Thesis\quickzonoreach\quickzonoreach\zono.py:45(iterate_zonotope_reachset)
